MA0774.1	MA0774.1_MEIS2	MEIS2
MA0775.1	MA0775.1_MEIS3	MEIS3
MA0776.1	MA0776.1_MYBL1	MYBL1
MA0777.1	MA0777.1_MYBL2	MYBL2
MA0778.1	MA0778.1_NFKB2	NFKB2
MA0779.1	MA0779.1_PAX1	PAX1
MA0780.1	MA0780.1_PAX3	PAX3
MA0781.1	MA0781.1_PAX9	PAX9
MA0782.1	MA0782.1_PKNOX1	PKNOX1
MA0783.1	MA0783.1_PKNOX2	PKNOX2
MA0784.1	MA0784.1_POU1F1	POU1F1
MA0785.1	MA0785.1_POU2F1	POU2F1
MA0786.1	MA0786.1_POU3F1	POU3F1
MA0787.1	MA0787.1_POU3F2	POU3F2
MA0788.1	MA0788.1_POU3F3	POU3F3
MA0789.1	MA0789.1_POU3F4	POU3F4
MA0790.1	MA0790.1_POU4F1	POU4F1
MA0791.1	MA0791.1_POU4F3	POU4F3
MA0792.1	MA0792.1_POU5F1B	POU5F1B
MA0793.1	MA0793.1_POU6F2	POU6F2
MA0794.1	MA0794.1_PROX1	PROX1
MA0795.1	MA0795.1_SMAD3	SMAD3
MA0796.1	MA0796.1_TGIF1	TGIF1
MA0797.1	MA0797.1_TGIF2	TGIF2
MA0798.1	MA0798.1_RFX3	RFX3
MA0799.1	MA0799.1_RFX4	RFX4
MA0800.1	MA0800.1_EOMES	EOMES
MA0801.1	MA0801.1_MGA	MGA
MA0802.1	MA0802.1_TBR1	TBR1
MA0803.1	MA0803.1_TBX15	TBX15
MA0804.1	MA0804.1_TBX19	TBX19
MA0805.1	MA0805.1_TBX1	TBX1
MA0806.1	MA0806.1_TBX4	TBX4
MA0807.1	MA0807.1_TBX5	TBX5
MA0808.1	MA0808.1_TEAD3	TEAD3
MA0809.1	MA0809.1_TEAD4	TEAD4
MA0810.1	MA0810.1_TFAP2A_var.2	TFAP2A
MA0811.1	MA0811.1_TFAP2B	TFAP2B
MA0812.1	MA0812.1_TFAP2B_var.2	TFAP2B
MA0813.1	MA0813.1_TFAP2B_var.3	TFAP2B
MA0814.1	MA0814.1_TFAP2C_var.2	TFAP2C
MA0815.1	MA0815.1_TFAP2C_var.3	TFAP2C
MA0816.1	MA0816.1_Ascl2	ASCL2
MA0817.1	MA0817.1_BHLHE23	BHLHE23
MA0818.1	MA0818.1_BHLHE22	BHLHE22
MA0819.1	MA0819.1_CLOCK	CLOCK
MA0820.1	MA0820.1_FIGLA	FIGLA
MA0821.1	MA0821.1_HES5	HES5
MA0822.1	MA0822.1_HES7	HES7
MA0823.1	MA0823.1_HEY1	HEY1
MA0824.1	MA0824.1_ID4	ID4
MA0825.1	MA0825.1_MNT	MNT
MA0826.1	MA0826.1_OLIG1	OLIG1
MA0827.1	MA0827.1_OLIG3	OLIG3
MA0828.1	MA0828.1_SREBF2_var.2	SREBF2
MA0829.1	MA0829.1_Srebf1_var.2	SREBF1
MA0830.1	MA0830.1_TCF4	TCF4
MA0831.2	MA0831.2_TFE3	TFE3
MA0832.1	MA0832.1_Tcf21	TCF21
MA0833.1	MA0833.1_ATF4	ATF4
MA0834.1	MA0834.1_ATF7	ATF7
MA0835.1	MA0835.1_BATF3	BATF3
MA0836.1	MA0836.1_CEBPD	CEBPD
MA0837.1	MA0837.1_CEBPE	CEBPE
MA0838.1	MA0838.1_CEBPG	CEBPG
MA0839.1	MA0839.1_CREB3L1	CREB3L1
